ID_Cliente,Nombre,Telefono,Email
1,Juan Pérez,3101234567,juan.p@email.com
2,Carlos Londoño,3218765432,carlos.l@email.com
3,Andrés Gómez,3155558899,andres.g@email.com
4,Mateo Ríos,3009871234,mateo.r@email.com
5,Sergio Vélez,3114567890,sergio.v@email.com
6,Fernando Torres,3201112233,fernando.t@email.com
7,David Herrera,3123334444,david.h@email.com
8,Laura Martínez,3005556666,laura.m@email.com
9,Luis Rodríguez,3117778888,luis.r@email.com
10,Diego Ramírez,3229990000,diego.r@email.com
11,Nicolás Castro,3141122334,nicolas.c@email.com
12,Martín Gutiérrez,3154455667,martin.g@email.com
13,Felipe Morales,3007788990,felipe.m@email.com
14,Andrea López,3012233445,andrea.l@email.com
15,Oscar Vargas,3115566778,oscar.v@email.com
16,José Hernández,3208899001,jose.h@email.com
17,Santiago Cárdenas,3124455667,santiago.c@email.com
18,Valentina Ruiz,3016677889,valentina.r@email.com
19,Camilo Fernández,3109988776,camilo.f@email.com
20,Daniel Mejía,3213344556,daniel.m@email.com
21,Mariana Rojas,3112233445,mariana.r@email.com
22,Andrés Silva,3205566778,andres.s@email.com
23,Juliana Torres,3009988776,juliana.t@email.com
24,Esteban López,3126677889,esteban.l@email.com
25,Sofía Martínez,3144455667,sofia.m@email.com
26,Pedro Castillo,3217788990,pedro.c@email.com
27,Carolina Gómez,3103344556,carolina.g@email.com
28,Tomás Ramírez,3136677889,tomas.r@email.com
29,Isabella Cárdenas,3221122334,isabella.c@email.com
30,Juanita Morales,3128899001,juanita.m@email.com
31,David Patiño,3114455667,david.p@email.com
32,Alejandra Vargas,3006677889,alejandra.v@email.com
33,Fabián Sánchez,3147788990,fabian.s@email.com
34,Paula Jiménez,3011122334,paula.j@email.com
35,Mauricio Duarte,3204455667,mauricio.d@email.com
36,Daniela Torres,3127788990,daniela.t@email.com
37,Cristian Herrera,3116677889,cristian.h@email.com
38,Lorena Álvarez,3152233445,lorena.a@email.com
39,Kevin Rincón,3008899001,kevin.r@email.com
40,Manuela Castro,3216677889,manuela.c@email.com
41,Julián González,3149988776,julian.g@email.com
42,Angela Muñoz,3015566778,angela.m@email.com
43,Roberto Díaz,3207788990,roberto.d@email.com
44,Daniel Rojas,3133344556,daniel.r@email.com
45,Luisa Ramírez,3224455667,luisa.r@email.com
46,José Camacho,3122233445,jose.c@email.com
47,Adriana Gutiérrez,3003344556,adriana.g@email.com
48,Nicolás Ortega,3156677889,nicolas.o@email.com
49,Verónica Salazar,3017788990,veronica.s@email.com
50,Fernando Álvarez,3209988776,fernando.a@email.com
51,Camila Pineda,3125566778,camila.p@email.com
52,Juan Esteban Ríos,3119988776,juanesteban.r@email.com
53,Marcela Duarte,3014455667,marcela.d@email.com
54,Samuel Rodríguez,3006677889,samuel.r@email.com
55,María José Castillo,3151122334,mariajose.c@email.com
56,Andrés Felipe Torres,3226677889,andresf.t@email.com
57,Lina María Vargas,3203344556,lina.v@email.com
58,Carlos Eduardo Ruiz,3127788990,carloseduardo.r@email.com
59,Valeria Morales,3142233445,valeria.m@email.com
60,Nelson Ramírez,3008899001,nelson.r@email.com
61,Natalia Jiménez,3215566778,natalia.j@email.com
62,Oscar Camilo López,3117788990,oscarcamilo.l@email.com
63,Sara Cárdenas,3019988776,sara.c@email.com
64,Manuel Gutiérrez,3134455667,manuel.g@email.com
65,Isabel Torres,3206677889,isabel.t@email.com
66,Andrés Camacho,3102233445,andres.c@email.com
67,Patricia Herrera,3128899001,patricia.h@email.com
68,David Alejandro Ruiz,3227788990,davidalejandro.r@email.com
69,Lucía Fernández,3145566778,lucia.f@email.com
70,Jorge Armando Díaz,3003344556,jorgearmando.d@email.com
