ID_Cita,ID_Cliente,ID_Barbero,ID_Servicio,ID_Sede,Fecha,Hora
1001,8,112,210,301,2025-03-14,10:00
1002,68,103,201,301,2025-02-28,09:00
1003,46,106,205,301,2025-09-04,16:30
1004,21,108,203,301,2025-03-06,10:00
1005,29,110,209,301,2025-05-15,12:30
1006,11,101,204,301,2025-07-19,14:00
1007,44,117,215,302,2025-09-26,18:30
1008,40,101,201,301,2025-01-21,16:00
1009,49,105,213,301,2025-07-20,16:00
1010,35,113,211,301,2025-02-23,17:30
1011,11,104,201,301,2025-08-28,12:00
1012,28,120,214,302,2025-06-12,10:30
1013,85,131,201,303,2024-11-20,11:00
1014,33,145,205,303,2025-01-05,15:00
1015,17,150,203,304,2024-12-11,10:00
1016,56,162,201,305,2025-04-03,13:00
1017,7,170,205,305,2025-08-08,17:00
1018,92,176,204,306,2025-05-22,14:30
1019,25,183,201,306,2025-03-10,09:30
1020,51,190,203,306,2025-07-29,11:00
1021,88,109,204,301,2025-02-09,10:30
1022,22,126,201,302,2025-09-08,15:00
1023,60,140,203,303,2025-05-25,09:30
1024,39,155,205,304,2025-08-14,13:00
1025,54,167,201,305,2025-03-29,17:00
1026,73,180,203,306,2025-01-02,11:00
1027,18,102,205,301,2025-07-07,14:30
1028,95,121,204,302,2025-04-16,10:00
1029,6,135,201,303,2025-09-19,16:00
1030,82,159,203,304,2025-02-27,12:00
1031,27,175,205,305,2025-05-31,15:30
1032,45,190,201,306,2025-08-22,11:00
1033,63,107,203,301,2025-03-17,10:00
1034,89,129,205,302,2025-06-25,14:00
1035,1,142,204,303,2025-01-08,16:30
1036,4,158,201,304,2025-08-11,09:00
1037,32,173,203,305,2025-05-09,12:00
1038,59,186,205,306,2025-09-02,15:00
1039,77,104,201,301,2025-02-14,10:00
1040,10,128,203,302,2025-07-15,13:00
1041,86,131,205,303,2025-04-01,16:00
1042,97,146,204,304,2025-09-29,11:30
1043,15,161,201,305,2025-06-06,10:00
1044,57,176,203,306,2025-03-21,14:00
1045,76,189,205,306,2025-08-04,17:00
1046,3,105,201,301,2025-01-24,10:00
1047,20,122,203,302,2025-06-19,13:00
1048,65,137,205,303,2025-04-12,15:00
1049,83,152,204,304,2025-09-05,11:00
1050,29,165,201,305,2025-07-02,12:30
1051,47,180,203,306,2025-04-18,16:00
1052,66,108,205,301,2025-01-13,10:00
1053,84,127,204,302,2025-05-03,14:00
1054,2,141,201,303,2025-09-17,17:00
